Year,SERIES,ເຂດອ້າງອີງ,ເພດ,ອາຍຸ,ລະດັບການເມືອງ,UNIT_MEASURE,GeoCode,Value
2013,ອັດຕາສ່ວນຂອງເດັກທີ່ດໍາລົງຊີວິດຢູ່ໃນຄວາມທຸກຍາກmultidimensional ສະເພາະເດັກ [1.2.2],,,,,ເປີເຊັນ,,33.1
2018,ອັດຕາສ່ວນຂອງເດັກທີ່ດໍາລົງຊີວິດຢູ່ໃນຄວາມທຸກຍາກmultidimensional ສະເພາະເດັກ [1.2.2],,,,,ເປີເຊັນ,,22.0
2013,ອັດຕາສ່ວນຂອງເດັກທີ່ດໍາລົງຊີວິດຢູ່ໃນຄວາມທຸກຍາກmultidimensional ສະເພາະເດັກ [1.2.2],,,,ຕົວເມືອງ,ເປີເຊັນ,,42.5
2018,ອັດຕາສ່ວນຂອງເດັກທີ່ດໍາລົງຊີວິດຢູ່ໃນຄວາມທຸກຍາກmultidimensional ສະເພາະເດັກ [1.2.2],,,,ຕົວເມືອງ,ເປີເຊັນ,,22.0
2013,ອັດຕາສ່ວນຂອງເດັກທີ່ດໍາລົງຊີວິດຢູ່ໃນຄວາມທຸກຍາກmultidimensional ສະເພາະເດັກ [1.2.2],,,,ຊົນນະບົດ,ເປີເຊັນ,,9.9
2018,ອັດຕາສ່ວນຂອງເດັກທີ່ດໍາລົງຊີວິດຢູ່ໃນຄວາມທຸກຍາກmultidimensional ສະເພາະເດັກ [1.2.2],,,,ຊົນນະບົດ,ເປີເຊັນ,,28.9
2013,ອັດຕາສ່ວນຂອງເດັກທີ່ດໍາລົງຊີວິດຢູ່ໃນຄວາມທຸກຍາກmultidimensional ສະເພາະເດັກ [1.2.2],,ຜູ້ຊາຍ,,,ເປີເຊັນ,,33.2
2018,ອັດຕາສ່ວນຂອງເດັກທີ່ດໍາລົງຊີວິດຢູ່ໃນຄວາມທຸກຍາກmultidimensional ສະເພາະເດັກ [1.2.2],,ຜູ້ຊາຍ,,,ເປີເຊັນ,,22.0
2013,ອັດຕາສ່ວນຂອງເດັກທີ່ດໍາລົງຊີວິດຢູ່ໃນຄວາມທຸກຍາກmultidimensional ສະເພາະເດັກ [1.2.2],,ຜູ້ຍິງ,,,ເປີເຊັນ,,33.0
2018,ອັດຕາສ່ວນຂອງເດັກທີ່ດໍາລົງຊີວິດຢູ່ໃນຄວາມທຸກຍາກmultidimensional ສະເພາະເດັກ [1.2.2],,ຜູ້ຍິງ,,,ເປີເຊັນ,,21.8
2013,ອັດຕາສ່ວນຂອງເດັກທີ່ດໍາລົງຊີວິດຢູ່ໃນຄວາມທຸກຍາກmultidimensional ສະເພາະເດັກ [1.2.2],,,ອາຍຸຕ່ໍາກວ່າ 15 ປີ,,ເປີເຊັນ,,44.5
2013,ອັດຕາສ່ວນຂອງເດັກທີ່ດໍາລົງຊີວິດຢູ່ໃນຄວາມທຸກຍາກmultidimensional ສະເພາະເດັກ [1.2.2],,,15 ຫາ 24 ປີ,,ເປີເຊັນ,,28.7
2013,ອັດຕາສ່ວນຂອງເດັກທີ່ດໍາລົງຊີວິດຢູ່ໃນຄວາມທຸກຍາກmultidimensional ສະເພາະເດັກ [1.2.2],,,55 ຫາ 64 ປີ,,ເປີເຊັນ,,24.2
2013,ອັດຕາສ່ວນຂອງເດັກທີ່ດໍາລົງຊີວິດຢູ່ໃນຄວາມທຸກຍາກmultidimensional ສະເພາະເດັກ [1.2.2],,,65 ປີແລະຫຼາຍກວ່າ,,ເປີເຊັນ,,29.1
2018,ອັດຕາສ່ວນຂອງເດັກທີ່ດໍາລົງຊີວິດຢູ່ໃນຄວາມທຸກຍາກmultidimensional ສະເພາະເດັກ [1.2.2],,,ອາຍຸຕ່ໍາກວ່າ 15 ປີ,,ເປີເຊັນ,,29.8
2018,ອັດຕາສ່ວນຂອງເດັກທີ່ດໍາລົງຊີວິດຢູ່ໃນຄວາມທຸກຍາກmultidimensional ສະເພາະເດັກ [1.2.2],,,15 ຫາ 24 ປີ,,ເປີເຊັນ,,22.2
2018,ອັດຕາສ່ວນຂອງເດັກທີ່ດໍາລົງຊີວິດຢູ່ໃນຄວາມທຸກຍາກmultidimensional ສະເພາະເດັກ [1.2.2],,,55 ຫາ 64 ປີ,,ເປີເຊັນ,,15.4
2018,ອັດຕາສ່ວນຂອງເດັກທີ່ດໍາລົງຊີວິດຢູ່ໃນຄວາມທຸກຍາກmultidimensional ສະເພາະເດັກ [1.2.2],,,65 ປີແລະຫຼາຍກວ່າ,,ເປີເຊັນ,,19.2
