Year,SERIES,Reference area,Degree of urbanisation,Income or wealth quantile,UNIT_MEASURE,GeoCode,Value
2017,Proportion of women aged 20-24 years who were married or in a union before age 15 [5.3.1],,,,Percent,,7.1
2017,Proportion of women aged 20-24 years who were married or in a union before age 15 [5.3.1],,Urban,,Percent,,3.3
2017,Proportion of women aged 20-24 years who were married or in a union before age 15 [5.3.1],,Rural,,Percent,,9.0
2017,Proportion of women aged 20-24 years who were married or in a union before age 15 [5.3.1],,,Quintile 1 (poorest),Percent,,15.9
2017,Proportion of women aged 20-24 years who were married or in a union before age 15 [5.3.1],,,Quintile 2,Percent,,9.7
2017,Proportion of women aged 20-24 years who were married or in a union before age 15 [5.3.1],,,Quintile 3,Percent,,6.6
2017,Proportion of women aged 20-24 years who were married or in a union before age 15 [5.3.1],,,Quintile 4,Percent,,3.4
2017,Proportion of women aged 20-24 years who were married or in a union before age 15 [5.3.1],,,Quintile 5 (richest),Percent,,1.4
2017,Proportion of women aged 20-24 years who were married or in a union before age 18 [5.3.1],,,,Percent,,32.7
2017,Proportion of women aged 20-24 years who were married or in a union before age 18 [5.3.1],,Urban,,Percent,,20.9
2017,Proportion of women aged 20-24 years who were married or in a union before age 18 [5.3.1],,Rural,,Percent,,38.5
2017,Proportion of women aged 20-24 years who were married or in a union before age 18 [5.3.1],,,Quintile 1 (poorest),Percent,,55.6
2017,Proportion of women aged 20-24 years who were married or in a union before age 18 [5.3.1],,,Quintile 2,Percent,,40.4
2017,Proportion of women aged 20-24 years who were married or in a union before age 18 [5.3.1],,,Quintile 3,Percent,,33.2
2017,Proportion of women aged 20-24 years who were married or in a union before age 18 [5.3.1],,,Quintile 4,Percent,,25.8
2017,Proportion of women aged 20-24 years who were married or in a union before age 18 [5.3.1],,,Quintile 5 (richest),Percent,,12.9
