Year,SERIES,ເຂດອ້າງອີງ,ລະດັບການເມືອງ,ລາຍໄດ້ ຫຼື ຄວາມຮັ່ງມີ quantile,UNIT_MEASURE,GeoCode,Value
2013,ອັດຕາການຕາຍຂອງເດັກອ່ອນ [3.2.1],,,,"ຕໍ່ 100,000 ຄົນ",,79.0
2017,ອັດຕາການຕາຍຂອງເດັກອ່ອນ [3.2.1],,,,"ຕໍ່ 100,000 ຄົນ",,46.0
2017,ອັດຕາການຕາຍຂອງເດັກອ່ອນ [3.2.1],,ຕົວເມືອງ,,"ຕໍ່ 100,000 ຄົນ",,24.0
2017,ອັດຕາການຕາຍຂອງເດັກອ່ອນ [3.2.1],,ຊົນນະບົດ,,"ຕໍ່ 100,000 ຄົນ",,53.0
2017,ອັດຕາການຕາຍຂອງເດັກອ່ອນ [3.2.1],,,Quintile 1 (ທຸກຍາກທີ່ສຸດ),"ຕໍ່ 100,000 ຄົນ",,63.0
2017,ອັດຕາການຕາຍຂອງເດັກອ່ອນ [3.2.1],,,Quintile 2,"ຕໍ່ 100,000 ຄົນ",,62.0
2017,ອັດຕາການຕາຍຂອງເດັກອ່ອນ [3.2.1],,,Quintile 3,"ຕໍ່ 100,000 ຄົນ",,35.0
2017,ອັດຕາການຕາຍຂອງເດັກອ່ອນ [3.2.1],,,Quintile 4,"ຕໍ່ 100,000 ຄົນ",,27.0
2017,ອັດຕາການຕາຍຂອງເດັກອ່ອນ [3.2.1],,,Quintile 5 (ຮັ່ງມີທີ່ສຸດ),"ຕໍ່ 100,000 ຄົນ",,23.0
2018,ອັດຕາການຕາຍຂອງເດັກອ່ອນ [3.2.1],,,,"ຕໍ່ 100,000 ຄົນ",,17.8
2019,ອັດຕາການຕາຍຂອງເດັກອ່ອນ [3.2.1],,,,"ຕໍ່ 100,000 ຄົນ",,18.0
2013,"ອັດຕາການຕາຍຂອງເດັກອ່ອນຕໍ່1,000 ຄົນທີ່ມີຊີວິດ",,,,"ຕໍ່ 1,000 ຄົນທີ່ມີຊີວິດ",,68.0
2017,"ອັດຕາການຕາຍຂອງເດັກອ່ອນຕໍ່1,000 ຄົນທີ່ມີຊີວິດ",,,,"ຕໍ່ 1,000 ຄົນທີ່ມີຊີວິດ",,40.0
2017,"ອັດຕາການຕາຍຂອງເດັກອ່ອນຕໍ່1,000 ຄົນທີ່ມີຊີວິດ",,ຕົວເມືອງ,,"ຕໍ່ 1,000 ຄົນທີ່ມີຊີວິດ",,20.0
2017,"ອັດຕາການຕາຍຂອງເດັກອ່ອນຕໍ່1,000 ຄົນທີ່ມີຊີວິດ",,ຊົນນະບົດ,,"ຕໍ່ 1,000 ຄົນທີ່ມີຊີວິດ",,47.0
2017,"ອັດຕາການຕາຍຂອງເດັກອ່ອນຕໍ່1,000 ຄົນທີ່ມີຊີວິດ",,,Quintile 1 (ທຸກຍາກທີ່ສຸດ),"ຕໍ່ 1,000 ຄົນທີ່ມີຊີວິດ",,56.0
2017,"ອັດຕາການຕາຍຂອງເດັກອ່ອນຕໍ່1,000 ຄົນທີ່ມີຊີວິດ",,,Quintile 2,"ຕໍ່ 1,000 ຄົນທີ່ມີຊີວິດ",,57.0
2017,"ອັດຕາການຕາຍຂອງເດັກອ່ອນຕໍ່1,000 ຄົນທີ່ມີຊີວິດ",,,Quintile 3,"ຕໍ່ 1,000 ຄົນທີ່ມີຊີວິດ",,31.0
2017,"ອັດຕາການຕາຍຂອງເດັກອ່ອນຕໍ່1,000 ຄົນທີ່ມີຊີວິດ",,,Quintile 4,"ຕໍ່ 1,000 ຄົນທີ່ມີຊີວິດ",,21.0
2017,"ອັດຕາການຕາຍຂອງເດັກອ່ອນຕໍ່1,000 ຄົນທີ່ມີຊີວິດ",,,Quintile 5 (ຮັ່ງມີທີ່ສຸດ),"ຕໍ່ 1,000 ຄົນທີ່ມີຊີວິດ",,14.0
2016,"ອັດຕາການຕາຍຂອງເດັກອ່ອນຕໍ່1,000 ຄົນທີ່ມີຊີວິດ",,,,"ຕໍ່ 1,000 ຄົນທີ່ມີຊີວິດ",,13.1
2018,"ອັດຕາການຕາຍຂອງເດັກອ່ອນຕໍ່1,000 ຄົນທີ່ມີຊີວິດ",,,,"ຕໍ່ 1,000 ຄົນທີ່ມີຊີວິດ",,15.8
2019,"ອັດຕາການຕາຍຂອງເດັກອ່ອນຕໍ່1,000 ຄົນທີ່ມີຊີວິດ",,,,"ຕໍ່ 1,000 ຄົນທີ່ມີຊີວິດ",,14.4
