Year,SERIES,ເຂດອ້າງອີງ,ເພດ,ລະດັບການເມືອງ,ລາຍໄດ້ ຫຼື ຄວາມຮັ່ງມີ quantile,UNIT_MEASURE,GeoCode,Value
2012,ອັດຕາສ່ວນຂອງເດັກໃນລະດັບປານກາງຫຼືຮ້າຍແຮງເສຍ [2.2.2],,,,,ເປີເຊັນ,,5.1
2018,ອັດຕາສ່ວນຂອງເດັກໃນລະດັບປານກາງຫຼືຮ້າຍແຮງເສຍ [2.2.2],,,,,ເປີເຊັນ,,9.0
2018,ອັດຕາສ່ວນຂອງເດັກໃນລະດັບປານກາງຫຼືຮ້າຍແຮງເສຍ [2.2.2],,,ຕົວເມືອງ,,ເປີເຊັນ,,7.0
2018,ອັດຕາສ່ວນຂອງເດັກໃນລະດັບປານກາງຫຼືຮ້າຍແຮງເສຍ [2.2.2],,,ຊົນນະບົດ,,ເປີເຊັນ,,9.8
2018,ອັດຕາສ່ວນຂອງເດັກໃນລະດັບປານກາງຫຼືຮ້າຍແຮງເສຍ [2.2.2],,ຜູ້ຊາຍ,,,ເປີເຊັນ,,9.4
2018,ອັດຕາສ່ວນຂອງເດັກໃນລະດັບປານກາງຫຼືຮ້າຍແຮງເສຍ [2.2.2],,ຜູ້ຍິງ,,,ເປີເຊັນ,,8.6
2018,ອັດຕາສ່ວນຂອງເດັກໃນລະດັບປານກາງຫຼືຮ້າຍແຮງເສຍ [2.2.2],,,,Quintile 1 (ທຸກຍາກທີ່ສຸດ),ເປີເຊັນ,,11.9
2018,ອັດຕາສ່ວນຂອງເດັກໃນລະດັບປານກາງຫຼືຮ້າຍແຮງເສຍ [2.2.2],,,,Quintile 2,ເປີເຊັນ,,9.4
2018,ອັດຕາສ່ວນຂອງເດັກໃນລະດັບປານກາງຫຼືຮ້າຍແຮງເສຍ [2.2.2],,,,Quintile 3,ເປີເຊັນ,,9.6
2018,ອັດຕາສ່ວນຂອງເດັກໃນລະດັບປານກາງຫຼືຮ້າຍແຮງເສຍ [2.2.2],,,,Quintile 4,ເປີເຊັນ,,6.5
2018,ອັດຕາສ່ວນຂອງເດັກໃນລະດັບປານກາງຫຼືຮ້າຍແຮງເສຍ [2.2.2],,,,Quintile 5 (ຮັ່ງມີທີ່ສຸດ),ເປີເຊັນ,,6.0
2012,ອັດຕາສ່ວນຂອງເດັກທີ່ມີນໍ້າຫນັກປານກາງ ຫຼື ຮຸນແຮງ [2.2.2],,,,,ເປີເຊັນ,,2.5
2018,ອັດຕາສ່ວນຂອງເດັກທີ່ມີນໍ້າຫນັກປານກາງ ຫຼື ຮຸນແຮງ [2.2.2],,,,,ເປີເຊັນ,,3.5
2018,ອັດຕາສ່ວນຂອງເດັກທີ່ມີນໍ້າຫນັກປານກາງ ຫຼື ຮຸນແຮງ [2.2.2],,,ຕົວເມືອງ,,ເປີເຊັນ,,4.8
2018,ອັດຕາສ່ວນຂອງເດັກທີ່ມີນໍ້າຫນັກປານກາງ ຫຼື ຮຸນແຮງ [2.2.2],,,ຊົນນະບົດ,,ເປີເຊັນ,,3.1
2018,ອັດຕາສ່ວນຂອງເດັກທີ່ມີນໍ້າຫນັກປານກາງ ຫຼື ຮຸນແຮງ [2.2.2],,ຜູ້ຊາຍ,,,ເປີເຊັນ,,3.9
2018,ອັດຕາສ່ວນຂອງເດັກທີ່ມີນໍ້າຫນັກປານກາງ ຫຼື ຮຸນແຮງ [2.2.2],,ຜູ້ຍິງ,,,ເປີເຊັນ,,3.1
2018,ອັດຕາສ່ວນຂອງເດັກທີ່ມີນໍ້າຫນັກປານກາງ ຫຼື ຮຸນແຮງ [2.2.2],,,,Quintile 1 (ທຸກຍາກທີ່ສຸດ),ເປີເຊັນ,,4.0
2018,ອັດຕາສ່ວນຂອງເດັກທີ່ມີນໍ້າຫນັກປານກາງ ຫຼື ຮຸນແຮງ [2.2.2],,,,Quintile 2,ເປີເຊັນ,,2.5
2018,ອັດຕາສ່ວນຂອງເດັກທີ່ມີນໍ້າຫນັກປານກາງ ຫຼື ຮຸນແຮງ [2.2.2],,,,Quintile 3,ເປີເຊັນ,,20.0
2018,ອັດຕາສ່ວນຂອງເດັກທີ່ມີນໍ້າຫນັກປານກາງ ຫຼື ຮຸນແຮງ [2.2.2],,,,Quintile 4,ເປີເຊັນ,,3.1
2018,ອັດຕາສ່ວນຂອງເດັກທີ່ມີນໍ້າຫນັກປານກາງ ຫຼື ຮຸນແຮງ [2.2.2],,,,Quintile 5 (ຮັ່ງມີທີ່ສຸດ),ເປີເຊັນ,,6.4
