Year,SERIES,ເຂດອ້າງອີງ,UNIT_MEASURE,GeoCode,Value
2015,"ຈໍາ ນວນ ຜູ້ ຕິດ ເຊື້ອ HIV ໃຫມ່ ຕໍ່ 1,000 ຄົນ ທີ່ ບໍ່ ຕິດ ເຊື້ອ [3.3.1]",,ເລກທີ,,550
2016,"ຈໍາ ນວນ ຜູ້ ຕິດ ເຊື້ອ HIV ໃຫມ່ ຕໍ່ 1,000 ຄົນ ທີ່ ບໍ່ ຕິດ ເຊື້ອ [3.3.1]",,ເລກທີ,,870
2017,"ຈໍາ ນວນ ຜູ້ ຕິດ ເຊື້ອ HIV ໃຫມ່ ຕໍ່ 1,000 ຄົນ ທີ່ ບໍ່ ຕິດ ເຊື້ອ [3.3.1]",,ເລກທີ,,830
2018,"ຈໍາ ນວນ ຜູ້ ຕິດ ເຊື້ອ HIV ໃຫມ່ ຕໍ່ 1,000 ຄົນ ທີ່ ບໍ່ ຕິດ ເຊື້ອ [3.3.1]",,ເລກທີ,,810
2019,"ຈໍາ ນວນ ຜູ້ ຕິດ ເຊື້ອ HIV ໃຫມ່ ຕໍ່ 1,000 ຄົນ ທີ່ ບໍ່ ຕິດ ເຊື້ອ [3.3.1]",,ເລກທີ,,780
2015,ຄົນ ທີ່ ເປັນ ໂຣກ HIV ທີ່ ໄດ້ ຮັບ ການ ກວດ ພົບ ວ່າ ເປັນ ໂຣກ ART,,ເປີເຊັນ,,32
2016,ຄົນ ທີ່ ເປັນ ໂຣກ HIV ທີ່ ໄດ້ ຮັບ ການ ກວດ ພົບ ວ່າ ເປັນ ໂຣກ ART,,ເປີເຊັນ,,39
2017,ຄົນ ທີ່ ເປັນ ໂຣກ HIV ທີ່ ໄດ້ ຮັບ ການ ກວດ ພົບ ວ່າ ເປັນ ໂຣກ ART,,ເປີເຊັນ,,47
2018,ຄົນ ທີ່ ເປັນ ໂຣກ HIV ທີ່ ໄດ້ ຮັບ ການ ກວດ ພົບ ວ່າ ເປັນ ໂຣກ ART,,ເປີເຊັນ,,50
2019,ຄົນ ທີ່ ເປັນ ໂຣກ HIV ທີ່ ໄດ້ ຮັບ ການ ກວດ ພົບ ວ່າ ເປັນ ໂຣກ ART,,ເປີເຊັນ,,56
