Year,Value,GeoCode,UNIT_MEASURE,SERIES
2015,550,,ເລກທີ,"ຈໍາ ນວນ ຜູ້ ຕິດ ເຊື້ອ HIV ໃຫມ່ ຕໍ່ 1,000 ຄົນ ທີ່ ບໍ່ ຕິດ ເຊື້ອ [3.3.1]"
2016,870,,ເລກທີ,"ຈໍາ ນວນ ຜູ້ ຕິດ ເຊື້ອ HIV ໃຫມ່ ຕໍ່ 1,000 ຄົນ ທີ່ ບໍ່ ຕິດ ເຊື້ອ [3.3.1]"
2017,830,,ເລກທີ,"ຈໍາ ນວນ ຜູ້ ຕິດ ເຊື້ອ HIV ໃຫມ່ ຕໍ່ 1,000 ຄົນ ທີ່ ບໍ່ ຕິດ ເຊື້ອ [3.3.1]"
2018,810,,ເລກທີ,"ຈໍາ ນວນ ຜູ້ ຕິດ ເຊື້ອ HIV ໃຫມ່ ຕໍ່ 1,000 ຄົນ ທີ່ ບໍ່ ຕິດ ເຊື້ອ [3.3.1]"
2019,780,,ເລກທີ,"ຈໍາ ນວນ ຜູ້ ຕິດ ເຊື້ອ HIV ໃຫມ່ ຕໍ່ 1,000 ຄົນ ທີ່ ບໍ່ ຕິດ ເຊື້ອ [3.3.1]"
2015,32,,ເປີເຊັນ,ຄົນ ທີ່ ເປັນ ໂຣກ HIV ທີ່ ໄດ້ ຮັບ ການ ກວດ ພົບ ວ່າ ເປັນ ໂຣກ ART
2016,39,,ເປີເຊັນ,ຄົນ ທີ່ ເປັນ ໂຣກ HIV ທີ່ ໄດ້ ຮັບ ການ ກວດ ພົບ ວ່າ ເປັນ ໂຣກ ART
2017,47,,ເປີເຊັນ,ຄົນ ທີ່ ເປັນ ໂຣກ HIV ທີ່ ໄດ້ ຮັບ ການ ກວດ ພົບ ວ່າ ເປັນ ໂຣກ ART
2018,50,,ເປີເຊັນ,ຄົນ ທີ່ ເປັນ ໂຣກ HIV ທີ່ ໄດ້ ຮັບ ການ ກວດ ພົບ ວ່າ ເປັນ ໂຣກ ART
2019,56,,ເປີເຊັນ,ຄົນ ທີ່ ເປັນ ໂຣກ HIV ທີ່ ໄດ້ ຮັບ ການ ກວດ ພົບ ວ່າ ເປັນ ໂຣກ ART
