Year,Value,GeoCode,UNIT_MEASURE,SERIES
2015,996.75,,"ຕໍ່ 100,000 ຄົນ","ຈໍານວນຄົນທີ່ໄດ້ຮັບຜົນກະທົບຈາກໄພພິບັດ [1.5.1, 11.5.1, 13.1.1]"
2016,358.1,,"ຕໍ່ 100,000 ຄົນ","ຈໍານວນຄົນທີ່ໄດ້ຮັບຜົນກະທົບຈາກໄພພິບັດ [1.5.1, 11.5.1, 13.1.1]"
2017,3805.69,,"ຕໍ່ 100,000 ຄົນ","ຈໍານວນຄົນທີ່ໄດ້ຮັບຜົນກະທົບຈາກໄພພິບັດ [1.5.1, 11.5.1, 13.1.1]"
2018,9270.11,,"ຕໍ່ 100,000 ຄົນ","ຈໍານວນຄົນທີ່ໄດ້ຮັບຜົນກະທົບຈາກໄພພິບັດ [1.5.1, 11.5.1, 13.1.1]"
2019,10795.47,,"ຕໍ່ 100,000 ຄົນ","ຈໍານວນຄົນທີ່ໄດ້ຮັບຜົນກະທົບຈາກໄພພິບັດ [1.5.1, 11.5.1, 13.1.1]"
2015,0.1,,"ຕໍ່ 100,000 ຄົນ","ຈໍານວນຜູ້ເສຍຊີວິດຍ້ອນໄພພິບັດ [1.5.1, 11.5.1, 13.1.1]"
2016,0.07,,"ຕໍ່ 100,000 ຄົນ","ຈໍານວນຜູ້ເສຍຊີວິດຍ້ອນໄພພິບັດ [1.5.1, 11.5.1, 13.1.1]"
2017,0.14,,"ຕໍ່ 100,000 ຄົນ","ຈໍານວນຜູ້ເສຍຊີວິດຍ້ອນໄພພິບັດ [1.5.1, 11.5.1, 13.1.1]"
2018,0.91,,"ຕໍ່ 100,000 ຄົນ","ຈໍານວນຜູ້ເສຍຊີວິດຍ້ອນໄພພິບັດ [1.5.1, 11.5.1, 13.1.1]"
2019,0.37,,"ຕໍ່ 100,000 ຄົນ","ຈໍານວນຜູ້ເສຍຊີວິດຍ້ອນໄພພິບັດ [1.5.1, 11.5.1, 13.1.1]"
2015,0.38,,"ຕໍ່ 100,000 ຄົນ","ຈໍານວນຄົນທີ່ໄດ້ຮັບບາດເຈັບ ຫຼື ເຈັບຍ້ອນໄພພິບັດ [1.5.1, 11.5.1, 13.1.1]"
2016,0.0,,"ຕໍ່ 100,000 ຄົນ","ຈໍານວນຄົນທີ່ໄດ້ຮັບບາດເຈັບ ຫຼື ເຈັບຍ້ອນໄພພິບັດ [1.5.1, 11.5.1, 13.1.1]"
2017,0.0,,"ຕໍ່ 100,000 ຄົນ","ຈໍານວນຄົນທີ່ໄດ້ຮັບບາດເຈັບ ຫຼື ເຈັບຍ້ອນໄພພິບັດ [1.5.1, 11.5.1, 13.1.1]"
2018,0.02,,"ຕໍ່ 100,000 ຄົນ","ຈໍານວນຄົນທີ່ໄດ້ຮັບບາດເຈັບ ຫຼື ເຈັບຍ້ອນໄພພິບັດ [1.5.1, 11.5.1, 13.1.1]"
2019,0.22,,"ຕໍ່ 100,000 ຄົນ","ຈໍານວນຄົນທີ່ໄດ້ຮັບບາດເຈັບ ຫຼື ເຈັບຍ້ອນໄພພິບັດ [1.5.1, 11.5.1, 13.1.1]"
2015,0.0,,"ຕໍ່ 100,000 ຄົນ","ຈໍານວນຜູ້ຫາຍສາບສູນ ຍ້ອນໄພພິບັດ [1.5.1, 11.5.1, 13.1.1]"
2016,0.0,,"ຕໍ່ 100,000 ຄົນ","ຈໍານວນຜູ້ຫາຍສາບສູນ ຍ້ອນໄພພິບັດ [1.5.1, 11.5.1, 13.1.1]"
2017,0.0,,"ຕໍ່ 100,000 ຄົນ","ຈໍານວນຜູ້ຫາຍສາບສູນ ຍ້ອນໄພພິບັດ [1.5.1, 11.5.1, 13.1.1]"
2018,0.37,,"ຕໍ່ 100,000 ຄົນ","ຈໍານວນຜູ້ຫາຍສາບສູນ ຍ້ອນໄພພິບັດ [1.5.1, 11.5.1, 13.1.1]"
2019,0.99,,"ຕໍ່ 100,000 ຄົນ","ຈໍານວນຜູ້ຫາຍສາບສູນ ຍ້ອນໄພພິບັດ [1.5.1, 11.5.1, 13.1.1]"
2015,1.37,,"ຕໍ່ 100,000 ຄົນ","ຈໍານວນຄົນທີ່ບ້ານທີ່ຖືກທໍາລາຍແມ່ນຍ້ອນໄພພິບັດ [1.5.1, 11.5.1, 13.1.1]"
2016,0.0,,"ຕໍ່ 100,000 ຄົນ","ຈໍານວນຄົນທີ່ບ້ານທີ່ຖືກທໍາລາຍແມ່ນຍ້ອນໄພພິບັດ [1.5.1, 11.5.1, 13.1.1]"
2017,0.0,,"ຕໍ່ 100,000 ຄົນ","ຈໍານວນຄົນທີ່ບ້ານທີ່ຖືກທໍາລາຍແມ່ນຍ້ອນໄພພິບັດ [1.5.1, 11.5.1, 13.1.1]"
2018,0.0,,"ຕໍ່ 100,000 ຄົນ","ຈໍານວນຄົນທີ່ບ້ານທີ່ຖືກທໍາລາຍແມ່ນຍ້ອນໄພພິບັດ [1.5.1, 11.5.1, 13.1.1]"
2019,0.0,,"ຕໍ່ 100,000 ຄົນ","ຈໍານວນຄົນທີ່ບ້ານທີ່ຖືກທໍາລາຍແມ່ນຍ້ອນໄພພິບັດ [1.5.1, 11.5.1, 13.1.1]"
