Year,Value,GeoCode,UNIT_MEASURE,SERIES
2015,36,,ເລກທີ,"ຈໍາ ນວນ ຂໍ້ ຕົກ ລົງ ການ ຮ່ວມ ມື ດ້ານ ວິ ທະ ຍາ ສາດ ແລະ/ຫຼື ເຕັກ ໂນ ໂລ ຊີ ລະ ຫວ່າງ ປະ ເທດ, ໂດຍ ການ ຮ່ວມ ມື ແບບ (ເພີ່ມ ຈໍາ ນວນ ຂໍ້ ຕົກ ລົງ ກັບ ລັດ ອື່ນ ແລະ ອົງ ການ ຈັດ ຕັ້ງ ສາກົນ ໃຫ້ ໄດ້ 100 ຂໍ້ ຕົກ ລົງ ແລະ ນໍາ ໃຊ້ 80% ໃນ ປີ 2020)"
2016,15,,ເລກທີ,"ຈໍາ ນວນ ຂໍ້ ຕົກ ລົງ ການ ຮ່ວມ ມື ດ້ານ ວິ ທະ ຍາ ສາດ ແລະ/ຫຼື ເຕັກ ໂນ ໂລ ຊີ ລະ ຫວ່າງ ປະ ເທດ, ໂດຍ ການ ຮ່ວມ ມື ແບບ (ເພີ່ມ ຈໍາ ນວນ ຂໍ້ ຕົກ ລົງ ກັບ ລັດ ອື່ນ ແລະ ອົງ ການ ຈັດ ຕັ້ງ ສາກົນ ໃຫ້ ໄດ້ 100 ຂໍ້ ຕົກ ລົງ ແລະ ນໍາ ໃຊ້ 80% ໃນ ປີ 2020)"
2017,32,,ເລກທີ,"ຈໍາ ນວນ ຂໍ້ ຕົກ ລົງ ການ ຮ່ວມ ມື ດ້ານ ວິ ທະ ຍາ ສາດ ແລະ/ຫຼື ເຕັກ ໂນ ໂລ ຊີ ລະ ຫວ່າງ ປະ ເທດ, ໂດຍ ການ ຮ່ວມ ມື ແບບ (ເພີ່ມ ຈໍາ ນວນ ຂໍ້ ຕົກ ລົງ ກັບ ລັດ ອື່ນ ແລະ ອົງ ການ ຈັດ ຕັ້ງ ສາກົນ ໃຫ້ ໄດ້ 100 ຂໍ້ ຕົກ ລົງ ແລະ ນໍາ ໃຊ້ 80% ໃນ ປີ 2020)"
2018,48,,ເລກທີ,"ຈໍາ ນວນ ຂໍ້ ຕົກ ລົງ ການ ຮ່ວມ ມື ດ້ານ ວິ ທະ ຍາ ສາດ ແລະ/ຫຼື ເຕັກ ໂນ ໂລ ຊີ ລະ ຫວ່າງ ປະ ເທດ, ໂດຍ ການ ຮ່ວມ ມື ແບບ (ເພີ່ມ ຈໍາ ນວນ ຂໍ້ ຕົກ ລົງ ກັບ ລັດ ອື່ນ ແລະ ອົງ ການ ຈັດ ຕັ້ງ ສາກົນ ໃຫ້ ໄດ້ 100 ຂໍ້ ຕົກ ລົງ ແລະ ນໍາ ໃຊ້ 80% ໃນ ປີ 2020)"
2019,18,,ເລກທີ,"ຈໍາ ນວນ ຂໍ້ ຕົກ ລົງ ການ ຮ່ວມ ມື ດ້ານ ວິ ທະ ຍາ ສາດ ແລະ/ຫຼື ເຕັກ ໂນ ໂລ ຊີ ລະ ຫວ່າງ ປະ ເທດ, ໂດຍ ການ ຮ່ວມ ມື ແບບ (ເພີ່ມ ຈໍາ ນວນ ຂໍ້ ຕົກ ລົງ ກັບ ລັດ ອື່ນ ແລະ ອົງ ການ ຈັດ ຕັ້ງ ສາກົນ ໃຫ້ ໄດ້ 100 ຂໍ້ ຕົກ ລົງ ແລະ ນໍາ ໃຊ້ 80% ໃນ ປີ 2020)"
2015,63,,ເລກທີ,ຈໍານວນໂຄງການຄົ້ນຄວ້າ/ເອກະສານ (ເພີ່ມຈໍານວນໂຄງການຄົ້ນຄວ້າໃນລະດັບຊາດ ແລະ ກະຊວງໃຫ້ໄດ້ 250 ໂຄງການໃນປີ 2025)
2016,46,,ເລກທີ,ຈໍານວນໂຄງການຄົ້ນຄວ້າ/ເອກະສານ (ເພີ່ມຈໍານວນໂຄງການຄົ້ນຄວ້າໃນລະດັບຊາດ ແລະ ກະຊວງໃຫ້ໄດ້ 250 ໂຄງການໃນປີ 2025)
2017,16,,ເລກທີ,ຈໍານວນໂຄງການຄົ້ນຄວ້າ/ເອກະສານ (ເພີ່ມຈໍານວນໂຄງການຄົ້ນຄວ້າໃນລະດັບຊາດ ແລະ ກະຊວງໃຫ້ໄດ້ 250 ໂຄງການໃນປີ 2025)
2018,18,,ເລກທີ,ຈໍານວນໂຄງການຄົ້ນຄວ້າ/ເອກະສານ (ເພີ່ມຈໍານວນໂຄງການຄົ້ນຄວ້າໃນລະດັບຊາດ ແລະ ກະຊວງໃຫ້ໄດ້ 250 ໂຄງການໃນປີ 2025)
2019,18,,ເລກທີ,ຈໍານວນໂຄງການຄົ້ນຄວ້າ/ເອກະສານ (ເພີ່ມຈໍານວນໂຄງການຄົ້ນຄວ້າໃນລະດັບຊາດ ແລະ ກະຊວງໃຫ້ໄດ້ 250 ໂຄງການໃນປີ 2025)
