Year,Value,GeoCode,UNIT_MEASURE,SERIES
2015,20.2,,ເປີເຊັນ,ລວມຍອດລາຍຮັບຂອງລັດຖະບານ ຕາມອັດຕາສ່ວນຂອງ GDP [17.1.1]
2015,16.3,,ເປີເຊັນ,ລາຍຮັບຂອງລັດຖະບານທັງຫມົດເປັນເປີເຊັນຂອງລາຍຮັບ GDP_Domestic
2015,3.9,,ເປີເຊັນ,ລາຍຮັບຂອງລັດຖະບານທັງຫມົດເປັນເປີເຊັນຂອງ GDP_Grants
2016,16.4,,ເປີເຊັນ,ລວມຍອດລາຍຮັບຂອງລັດຖະບານ ຕາມອັດຕາສ່ວນຂອງ GDP [17.1.1]
2016,15.0,,ເປີເຊັນ,ລາຍຮັບຂອງລັດຖະບານທັງຫມົດເປັນເປີເຊັນຂອງລາຍຮັບ GDP_Domestic
2016,1.4,,ເປີເຊັນ,ລາຍຮັບຂອງລັດຖະບານທັງຫມົດເປັນເປີເຊັນຂອງ GDP_Grants
2017,16.3,,ເປີເຊັນ,ລວມຍອດລາຍຮັບຂອງລັດຖະບານ ຕາມອັດຕາສ່ວນຂອງ GDP [17.1.1]
2017,14.6,,ເປີເຊັນ,ລາຍຮັບຂອງລັດຖະບານທັງຫມົດເປັນເປີເຊັນຂອງລາຍຮັບ GDP_Domestic
2017,1.7,,ເປີເຊັນ,ລາຍຮັບຂອງລັດຖະບານທັງຫມົດເປັນເປີເຊັນຂອງ GDP_Grants
2018,16.2,,ເປີເຊັນ,ລວມຍອດລາຍຮັບຂອງລັດຖະບານ ຕາມອັດຕາສ່ວນຂອງ GDP [17.1.1]
2018,14.3,,ເປີເຊັນ,ລາຍຮັບຂອງລັດຖະບານທັງຫມົດເປັນເປີເຊັນຂອງລາຍຮັບ GDP_Domestic
2018,1.9,,ເປີເຊັນ,ລາຍຮັບຂອງລັດຖະບານທັງຫມົດເປັນເປີເຊັນຂອງ GDP_Grants
2019,15.3,,ເປີເຊັນ,ລວມຍອດລາຍຮັບຂອງລັດຖະບານ ຕາມອັດຕາສ່ວນຂອງ GDP [17.1.1]
2019,13.6,,ເປີເຊັນ,ລາຍຮັບຂອງລັດຖະບານທັງຫມົດເປັນເປີເຊັນຂອງລາຍຮັບ GDP_Domestic
2019,1.7,,ເປີເຊັນ,ລາຍຮັບຂອງລັດຖະບານທັງຫມົດເປັນເປີເຊັນຂອງ GDP_Grants
