Year,SERIES,REF_AREA,URBANISATION,INCOME_WEALTH_QUANTILE,UNIT_MEASURE,GeoCode,Value
2013,SH_DYN_IMRT,,,,PER_100000_POP,,79.0
2017,SH_DYN_IMRT,,,,PER_100000_POP,,46.0
2017,SH_DYN_IMRT,,U,,PER_100000_POP,,24.0
2017,SH_DYN_IMRT,,R,,PER_100000_POP,,53.0
2017,SH_DYN_IMRT,,,Q1,PER_100000_POP,,63.0
2017,SH_DYN_IMRT,,,Q2,PER_100000_POP,,62.0
2017,SH_DYN_IMRT,,,Q3,PER_100000_POP,,35.0
2017,SH_DYN_IMRT,,,Q4,PER_100000_POP,,27.0
2017,SH_DYN_IMRT,,,Q5,PER_100000_POP,,23.0
2018,SH_DYN_IMRT,,,,PER_100000_POP,,17.8
2019,SH_DYN_IMRT,,,,PER_100000_POP,,18.0
2013,_L_LA_030201_01,,,,PER_1000_LIVE_BIRTHS,,68.0
2017,_L_LA_030201_01,,,,PER_1000_LIVE_BIRTHS,,40.0
2017,_L_LA_030201_01,,U,,PER_1000_LIVE_BIRTHS,,20.0
2017,_L_LA_030201_01,,R,,PER_1000_LIVE_BIRTHS,,47.0
2017,_L_LA_030201_01,,,Q1,PER_1000_LIVE_BIRTHS,,56.0
2017,_L_LA_030201_01,,,Q2,PER_1000_LIVE_BIRTHS,,57.0
2017,_L_LA_030201_01,,,Q3,PER_1000_LIVE_BIRTHS,,31.0
2017,_L_LA_030201_01,,,Q4,PER_1000_LIVE_BIRTHS,,21.0
2017,_L_LA_030201_01,,,Q5,PER_1000_LIVE_BIRTHS,,14.0
2016,_L_LA_030201_01,,,,PER_1000_LIVE_BIRTHS,,13.1
2018,_L_LA_030201_01,,,,PER_1000_LIVE_BIRTHS,,15.8
2019,_L_LA_030201_01,,,,PER_1000_LIVE_BIRTHS,,14.4
