Year,SERIES,ເຂດອ້າງອີງ,ລະດັບການເມືອງ,ລາຍໄດ້ ຫຼື ຄວາມຮັ່ງມີ quantile,UNIT_MEASURE,GeoCode,Value
2017,ອັດຕາສ່ວນຂອງແມ່ຍິງອາຍຸ 20-24 ປີ ທີ່ໄດ້ແຕ່ງງານຫຼືຢູ່ໃນຄູ່ສົມລົດກ່ອນອາຍຸ 15 ປີ [5.3.1],,,,ເປີເຊັນ,,7.1
2017,ອັດຕາສ່ວນຂອງແມ່ຍິງອາຍຸ 20-24 ປີ ທີ່ໄດ້ແຕ່ງງານຫຼືຢູ່ໃນຄູ່ສົມລົດກ່ອນອາຍຸ 15 ປີ [5.3.1],,ຕົວເມືອງ,,ເປີເຊັນ,,3.3
2017,ອັດຕາສ່ວນຂອງແມ່ຍິງອາຍຸ 20-24 ປີ ທີ່ໄດ້ແຕ່ງງານຫຼືຢູ່ໃນຄູ່ສົມລົດກ່ອນອາຍຸ 15 ປີ [5.3.1],,ຊົນນະບົດ,,ເປີເຊັນ,,9.0
2017,ອັດຕາສ່ວນຂອງແມ່ຍິງອາຍຸ 20-24 ປີ ທີ່ໄດ້ແຕ່ງງານຫຼືຢູ່ໃນຄູ່ສົມລົດກ່ອນອາຍຸ 15 ປີ [5.3.1],,,Quintile 1 (ທຸກຍາກທີ່ສຸດ),ເປີເຊັນ,,15.9
2017,ອັດຕາສ່ວນຂອງແມ່ຍິງອາຍຸ 20-24 ປີ ທີ່ໄດ້ແຕ່ງງານຫຼືຢູ່ໃນຄູ່ສົມລົດກ່ອນອາຍຸ 15 ປີ [5.3.1],,,Quintile 2,ເປີເຊັນ,,9.7
2017,ອັດຕາສ່ວນຂອງແມ່ຍິງອາຍຸ 20-24 ປີ ທີ່ໄດ້ແຕ່ງງານຫຼືຢູ່ໃນຄູ່ສົມລົດກ່ອນອາຍຸ 15 ປີ [5.3.1],,,Quintile 3,ເປີເຊັນ,,6.6
2017,ອັດຕາສ່ວນຂອງແມ່ຍິງອາຍຸ 20-24 ປີ ທີ່ໄດ້ແຕ່ງງານຫຼືຢູ່ໃນຄູ່ສົມລົດກ່ອນອາຍຸ 15 ປີ [5.3.1],,,Quintile 4,ເປີເຊັນ,,3.4
2017,ອັດຕາສ່ວນຂອງແມ່ຍິງອາຍຸ 20-24 ປີ ທີ່ໄດ້ແຕ່ງງານຫຼືຢູ່ໃນຄູ່ສົມລົດກ່ອນອາຍຸ 15 ປີ [5.3.1],,,Quintile 5 (ຮັ່ງມີທີ່ສຸດ),ເປີເຊັນ,,1.4
2017,ອັດຕາສ່ວນຂອງແມ່ຍິງອາຍຸ 20-24 ປີ ທີ່ໄດ້ແຕ່ງງານຫຼືຢູ່ໃນຄູ່ສົມລົດກ່ອນອາຍຸ 18 ປີ [5.3.1],,,,ເປີເຊັນ,,32.7
2017,ອັດຕາສ່ວນຂອງແມ່ຍິງອາຍຸ 20-24 ປີ ທີ່ໄດ້ແຕ່ງງານຫຼືຢູ່ໃນຄູ່ສົມລົດກ່ອນອາຍຸ 18 ປີ [5.3.1],,ຕົວເມືອງ,,ເປີເຊັນ,,20.9
2017,ອັດຕາສ່ວນຂອງແມ່ຍິງອາຍຸ 20-24 ປີ ທີ່ໄດ້ແຕ່ງງານຫຼືຢູ່ໃນຄູ່ສົມລົດກ່ອນອາຍຸ 18 ປີ [5.3.1],,ຊົນນະບົດ,,ເປີເຊັນ,,38.5
2017,ອັດຕາສ່ວນຂອງແມ່ຍິງອາຍຸ 20-24 ປີ ທີ່ໄດ້ແຕ່ງງານຫຼືຢູ່ໃນຄູ່ສົມລົດກ່ອນອາຍຸ 18 ປີ [5.3.1],,,Quintile 1 (ທຸກຍາກທີ່ສຸດ),ເປີເຊັນ,,55.6
2017,ອັດຕາສ່ວນຂອງແມ່ຍິງອາຍຸ 20-24 ປີ ທີ່ໄດ້ແຕ່ງງານຫຼືຢູ່ໃນຄູ່ສົມລົດກ່ອນອາຍຸ 18 ປີ [5.3.1],,,Quintile 2,ເປີເຊັນ,,40.4
2017,ອັດຕາສ່ວນຂອງແມ່ຍິງອາຍຸ 20-24 ປີ ທີ່ໄດ້ແຕ່ງງານຫຼືຢູ່ໃນຄູ່ສົມລົດກ່ອນອາຍຸ 18 ປີ [5.3.1],,,Quintile 3,ເປີເຊັນ,,33.2
2017,ອັດຕາສ່ວນຂອງແມ່ຍິງອາຍຸ 20-24 ປີ ທີ່ໄດ້ແຕ່ງງານຫຼືຢູ່ໃນຄູ່ສົມລົດກ່ອນອາຍຸ 18 ປີ [5.3.1],,,Quintile 4,ເປີເຊັນ,,25.8
2017,ອັດຕາສ່ວນຂອງແມ່ຍິງອາຍຸ 20-24 ປີ ທີ່ໄດ້ແຕ່ງງານຫຼືຢູ່ໃນຄູ່ສົມລົດກ່ອນອາຍຸ 18 ປີ [5.3.1],,,Quintile 5 (ຮັ່ງມີທີ່ສຸດ),ເປີເຊັນ,,12.9
