Year,SERIES,Reference area,UNIT_MEASURE,GeoCode,Value
2015,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,Number,,550
2016,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,Number,,870
2017,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,Number,,830
2018,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,Number,,810
2019,"Number of new HIV infections per 1,000 uninfected population [3.3.1]",,Number,,780
2015,people with diagnosed HIV sustained ART,,Percent,,32
2016,people with diagnosed HIV sustained ART,,Percent,,39
2017,people with diagnosed HIV sustained ART,,Percent,,47
2018,people with diagnosed HIV sustained ART,,Percent,,50
2019,people with diagnosed HIV sustained ART,,Percent,,56
