Year,SERIES,ເຂດອ້າງອີງ,ເພດ,UNIT_MEASURE,GeoCode,Value
2015,ຈໍານວນທະບຽນຜູ້ເສຍຊີວິດທີ່ບັນທຶກໄວ້,,,ເລກທີ,,14042
2015,ຈໍານວນທະບຽນຜູ້ເສຍຊີວິດທີ່ບັນທຶກໄວ້,,ຜູ້ຊາຍ,ເລກທີ,,5637
2015,ຈໍານວນທະບຽນຜູ້ເສຍຊີວິດທີ່ບັນທຶກໄວ້,,ຜູ້ຍິງ,ເລກທີ,,8405
2016,ຈໍານວນທະບຽນຜູ້ເສຍຊີວິດທີ່ບັນທຶກໄວ້,,,ເລກທີ,,17157
2016,ຈໍານວນທະບຽນຜູ້ເສຍຊີວິດທີ່ບັນທຶກໄວ້,,ຜູ້ຊາຍ,ເລກທີ,,7339
2016,ຈໍານວນທະບຽນຜູ້ເສຍຊີວິດທີ່ບັນທຶກໄວ້,,ຜູ້ຍິງ,ເລກທີ,,9818
2017,ຈໍານວນທະບຽນຜູ້ເສຍຊີວິດທີ່ບັນທຶກໄວ້,,,ເລກທີ,,15646
2017,ຈໍານວນທະບຽນຜູ້ເສຍຊີວິດທີ່ບັນທຶກໄວ້,,ຜູ້ຊາຍ,ເລກທີ,,6719
2017,ຈໍານວນທະບຽນຜູ້ເສຍຊີວິດທີ່ບັນທຶກໄວ້,,ຜູ້ຍິງ,ເລກທີ,,8927
2018,ຈໍານວນທະບຽນຜູ້ເສຍຊີວິດທີ່ບັນທຶກໄວ້,,,ເລກທີ,,19238
2018,ຈໍານວນທະບຽນຜູ້ເສຍຊີວິດທີ່ບັນທຶກໄວ້,,ຜູ້ຊາຍ,ເລກທີ,,8173
2018,ຈໍານວນທະບຽນຜູ້ເສຍຊີວິດທີ່ບັນທຶກໄວ້,,ຜູ້ຍິງ,ເລກທີ,,11065
